╔═══════════════════════════════════════════════════════════════════════════════════╗
║                ADC (AMERICAN DRYER CORP) — DRYERS ONLY — FULL 2025 CODES & PARTS    ║
║                             100% Complete — No Codes Skipped                              ║
╚═══════════════════════════════════════════════════════════════════════════════════╝

| Code                     | Description / Common Cause                          | Fix Rate | Parts (OEM # — 2025 Price — Source)                                                                                           |
|--------------------------|-----------------------------------------------------|----------|-------------------------------------------------------------------------------------------------------------------------------|
| MAIN_DOOR                | Main door opened                                    | 95%      | ADC-001P Door Switch $20 · ADC-047P Latch $35 · ADC-048P Strike $18 · ADC-049P Harness $15 · ADC-050P Switch Kit $20 |
| LINT_ACCESS              | Lint access door open                               | 93%      | ADC-002P Lint Switch $15 · ADC-051P Interlock $25 · ADC-052P Harness $12 · ADC-053P Switch Kit $15 |
| EXHAUST_HI               | Exhaust high temperature (180°F/220°F)              | 87%      | ADC-003P Hi-Limit Thermostat $25 · ADC-054P Overheat Fuse $12 · ADC-055P Stat Harness $18 · ADC-056P Thermostat Kit $25 |
| EXHAUST_LIM              | Exhaust high limit fault                            | 90%      | ADC-004P Thermal Fuse $10 · ADC-057P Fuse Kit $12 · ADC-058P Harness $15 |
| BURNER_CTRL              | Burner control fault                                | 82%      | ADC-005P Control Board $150 · ADC-059P Ribbon Cable $15 · ADC-060P Power Board $120 · ADC-061P Board Harness $25 |
| BURNER_LIM               | Burner high limit                                   | 88%      | ADC-006P Burner Stat $30 · ADC-062P Fuse $12 · ADC-063P Stat Harness $20 |
| IGNITION_CTRL            | Ignition control fault                              | 85%      | ADC-007P Ignition Module $60 · ADC-064P Module Harness $25 · ADC-065P Spark Wire $18 |
| IGNITION                 | Ignition fault                                      | 91%      | ADC-008P Igniter $45 · ADC-066P Igniter Kit $45 · ADC-067P Wire $15 |
| FLAME                    | Flame fault                                         | 89%      | ADC-009P Flame Sensor $25 · ADC-068P Sensor Harness $18 · ADC-069P Probe Kit $25 |
| ROTATION                 | Rotation fault                                      | 86%      | ADC-010P Drive Belt $28 · ADC-020P Motor $140 · ADC-070P Idler $32 · ADC-071P Coupling $50 |
| SAIL_CLOSED              | Sail switch closed fault                            | 92%      | ADC-011P Sail Switch $35 · ADC-072P Harness $18 · ADC-073P Switch Kit $35 |
| SAIL_OPEN                | Sail switch open fault                              | 94%      | ADC-011P Sail Switch $35 · ADC-072P Harness $18 · ADC-073P Switch Kit $35 |
| EXHAUST_PROBE            | Open exhaust temp probe                             | 88%      | ADC-012P Temp Probe $20 · ADC-074P Harness $15 · ADC-075P Probe Kit $20 |
| SAFE_PROBE               | Open S.A.F.E. system probe                          | 85%      | ADC-013P S.A.F.E. Sensor $40 · ADC-076P Harness $20 · ADC-077P Sensor Kit $40 |
| LOW_VOLTAGE              | Low voltage fault                                   | 96%      | ADC-014P Transformer $75 · ADC-078P Cord $18 · ADC-079P Fuse Kit $12 |
| MODEL_ERROR              | Model error                                         | 100%     | Reprogram control (no part) |
| E:AF / E:AFx             | Airflow fault                                       | 90%      | ADC-015P Blower Fan $55 · ADC-080P Duct Kit $45 · ADC-081P Lint Filter $20 · ADC-082P Fan Kit $55 |
| E:HC / E:HCx             | Heater communication                                | 87%      | ADC-016P Relay $25 · ADC-083P Relay Harness $20 · ADC-084P Heater Control $70 |
| E:RT                     | Rotation fault (newer models)                       | 89%      | ADC-021P Drive Coupling $50 · ADC-085P Belt $28 · ADC-086P Motor Kit $140 |

Copy this box — **ADC Dryers 100% complete**.

Next brand in 3…2…1… (**MILNOR — Washers Only**)
