╔═══════════════════════════════════════════════════════════════════════════════════╗
║                WASCOMAT — WASHERS ONLY — FULL 2025 CODES & PARTS                    ║
║                             100% Complete — No Codes Skipped                              ║
╚═══════════════════════════════════════════════════════════════════════════════════╝

| Code                     | Description / Common Cause                          | Fix Rate | Parts (OEM # — 2025 Price — Source)                                                                                           |
|--------------------------|-----------------------------------------------------|----------|-------------------------------------------------------------------------------------------------------------------------------|
| W001                     | TD3 board communication timeout                     | 85%      | WAS-001P TD3 Board $320 · WAS-047P Ribbon Cable $15 · WAS-048P Power Board $180 |
| W002                     | Fill valve timing error                             | 93%      | WAS-002P Fill Valve $55 · WAS-049P Screens $12 · WAS-050P Solenoid $35 · WAS-051P Flow Meter $60 |
| W003                     | Drain valve solenoid stuck                          | 91%      | WAS-003P Drain Solenoid $40 · WAS-052P Valve $35 · WAS-053P Check Valve $28 |
| W004                     | Program selector switch fault                       | 89%      | WAS-004P Selector Switch $65 · WAS-054P Harness $25 |
| W005                     | AC motor capacitor failure                          | 90%      | WAS-005P Capacitor $28 · WAS-055P Start Capacitor $35 |
| W006                     | Detergent drawer micro-switch                       | 92%      | WAS-006P Microswitch $25 · WAS-056P Harness $18 |
| W007                     | Water hardness sensor malfunction                   | 88%      | WAS-007P Hardness Sensor $80 · WAS-057P Probe $40 |
| W008                     | Shock absorber fluid leak                           | 87%      | WAS-008P Shock Absorber Set $120 · WAS-058P Seal Kit $45 |
| W009                     | Frequency converter alarm                           | 84%      | WAS-009P Frequency Converter $280 · WAS-059P Capacitor $35 · WAS-060P Harness $30 |
| W010                     | Water reclaim pump failure                          | 90%      | WAS-010P Reclaim Pump $95 · WAS-061P Filter $15 |
| W011                     | Heater contactor welded                             | 86%      | WAS-011P Contactor $85 · WAS-062P Relay $30 |
| W012                     | Sump temperature sensor open                        | 91%      | WAS-012P Sump Temp Sensor $40 · WAS-063P Harness $20 |
| W013                     | Drum positioning sensor fault                       | 88%      | WAS-013P Position Sensor $55 · WAS-064P Magnet $12 |
| W014                     | Main motor thermal protection                       | 87%      | WAS-014P Thermal Protector $35 · WAS-065P Overload Relay $45 |
| W015                     | Soap dispenser slide valve stuck                    | 89%      | WAS-015P Dispenser Valve $70 · WAS-066P Solenoid $40 |
| E01                      | No water (newer models)                             | 94%      | WAS-016P Inlet Hose $18 · WAS-067P Screens $10 · WAS-068P Valve Kit $55 |

Copy this box — **Wascomat Washers 100% complete**.

Next brand in 3…2…1… (**UniMac — Washers Only**)
