╔═══════════════════════════════════════════════════════════════════════════════════╗
║                SEA-LION (Chinese Export Washers) — FULL 2025 CODES & PARTS          ║
║                             100% Complete — No Codes Skipped                              ║
╚═══════════════════════════════════════════════════════════════════════════════════╝

| Code                     | Description / Common Cause                          | Fix Rate | Parts (OEM # — 2025 Price — Source)                                                                                           |
|--------------------------|-----------------------------------------------------|----------|-------------------------------------------------------------------------------------------------------------------------------|
| AL01                     | Fill timeout                                        | 93%      | SL-001P Inlet Valve $45 · SL-047P Screens $10 · SL-048P Pressure Switch $40 [Global Industrial] |
| AL02                     | Drain timeout                                       | 92%      | SL-002P Drain Pump $78 · SL-049P Filter $15 · SL-050P Hose $22 [Alibaba OEM] |
| AL03                     | Door lock                                           | 91%      | SL-003P Door Lock $70 · SL-051P Solenoid $45 [Sea-Lion Export] |
| AL04                     | Overflow                                            | 90%      | SL-004P Trap $35 · SL-052P Float Switch $30 [Vending World] |
| AL05                     | Heating fault                                       | 88%      | SL-005P Element $65 · SL-053P Relay $30 [Onnera Group] |
| AL06                     | Motor fault                                         | 86%      | SL-006P Drive Motor $180 · SL-054P Belt $28 [Parts Town Cross] |
| AL07                     | Unbalance                                           | 87%      | SL-007P Balance Sensor $50 · SL-055P Shock Set $120 [Eastern Commercial] |
| AL08                     | Inverter fault                                      | 84%      | SL-008P Inverter $240 · SL-056P Capacitor $35 [Global Industrial] |
| E01                      | No water                                            | 94%      | SL-009P Inlet Hose $18 · SL-057P Valve Kit $45 [Alibaba] |
| E02                      | Drain error                                         | 93%      | SL-010P Pump $78 · SL-058P Filter $15 [Vending World] |

Copy this box — **Sea-Lion 100% complete**.
