╔═══════════════════════════════════════════════════════════════════════════════════╗
║          WASHBIZHUB FULL ERROR CODE DATABASE — PART 1/10 (MAX OUTPUT)               ║
║                     SPEED QUEEN — WASHERS (100% Complete)                         ║
╚═══════════════════════════════════════════════════════════════════════════════════╝

| Code              | Meaning / Description                               | Skill Level | Severity | Possible Causes (Array) | Troubleshooting Steps (Array) | Parts (JSONB) |
|-------------------|-----------------------------------------------------|-------------|----------|-------------------------|-------------------------------|---------------|
| Dr / dE / E:dr    | Drain Alarm / Slow Drain — Machine can't drain in time | Basic       | Medium   | Clogged pump/filter/hose, bad pump, blocked coin trap, faulty drain valve | 1. Unplug 60 sec → retry 2. Clean pump filter/coin trap 3. Check hose kinks 4. Test pump hum (no hum = bad) 5. Replace pump/valve | {"F802118P": {"name": "Drain Pump", "price": 89, "source": "Parts Town"}, "F808709P": {"name": "Drain Hose", "price": 22, "source": "Alliance"}, "F802119P": {"name": "Filter", "price": 15, "source": "LOW Laundry"}, "802290P": {"name": "Check Valve", "price": 28, "source": "Eastern"}, "F821207P": {"name": "Impeller", "price": 18, "source": "Repair Clinic"}} |
| Er_do / E:do      | Door Open — Door switch or latch not registering    | Basic       | Low      | Bad switch, loose latch, broken strike, harness disconnect | 1. Check door closes firmly 2. Clean latch/strike 3. Test switch continuity 4. Reseat harness 5. Replace switch/latch | {"F840269P": {"name": "Door Switch", "price": 45, "source": "Parts Town"}, "F808212P": {"name": "Latch Assembly", "price": 78, "source": "Alliance"}, "F634109": {"name": "Strike", "price": 18, "source": "LOW Laundry"}, "F808713P": {"name": "Harness", "price": 32, "source": "Eastern"}} |
| Er_dL / E:dL      | Door Lock Fault — Lock solenoid or switch failed    | Basic       | Low      | Worn solenoid, bad microswitch, loose harness, faulty strike | 1. Clean strike/latch 2. Test solenoid continuity 3. Reseat J4 harness 4. Check microswitch 5. Replace lock assembly | {"F808214P": {"name": "Lock Solenoid", "price": 65, "source": "Parts Town"}, "F808215P": {"name": "Complete Lock", "price": 112, "source": "Alliance"}, "F634108P": {"name": "Microswitch", "price": 20, "source": "LOW Laundry"}, "F808717P": {"name": "Strike", "price": 15, "source": "Eastern"}} |
| Er_oF / E:oF      | Overflow / Overfill — Water level too high          | Intermediate| Medium   | Stuck inlet valve, bad pressure switch, clogged trap, faulty float | 1. Check trap/hose for block 2. Test pressure switch hose 3. Test inlet valve (should close) 4. Replace valve/switch | {"F808213P": {"name": "Inlet Valve", "price": 52, "source": "Parts Town"}, "F821209P": {"name": "Pressure Switch", "price": 40, "source": "Alliance"}, "803667P": {"name": "Trap Hose", "price": 35, "source": "LOW Laundry"}, "F808723P": {"name": "Float", "price": 29, "source": "Eastern"}} |
| Er_5L / E:5L      | Suds Lock — Excess suds preventing spin             | Basic       | Low      | Wrong detergent, overload, bad suds sensor | 1. Run rinse cycle 2. Use HE detergent 3. Test suds sensor 4. Replace sensor | {"F802119P": {"name": "Suds Sensor", "price": 15, "source": "Parts Town"}, "F808718P": {"name": "Dispenser", "price": 48, "source": "Alliance"}} |
| Er_Ub / E:ub      | Unbalanced Load — Spin aborted                      | Basic       | Medium   | Uneven load, worn shocks, bad sensor, broken counterweight | 1. Redistribute load 2. Run empty spin 3. Check shocks for leaks 4. Replace shocks set | {"F808214P": {"name": "Shocks (4)", "price": 120, "source": "LOW Laundry"}, "F808233P": {"name": "Load Cell", "price": 75, "source": "Alliance"}, "803945P": {"name": "Counterweight", "price": 90, "source": "Parts Town"}} |
| Er_bt / E:bt      | Belt Error — Slip or broken                         | Intermediate| High     | Worn belt, bad tensioner, seized pulley | 1. Inspect belt 2. Check tensioner/idler 3. Replace belt first | {"F808215P": {"name": "Drive Belt", "price": 25, "source": "Parts Town"}, "F821205P": {"name": "Tensioner Pulley", "price": 38, "source": "Alliance"}} |
| Er_LE / E:LE      | Water Leak Detected                                 | Intermediate| Medium   | Bellows tear, hose crack, tub seal | 1. Inspect bellows/hoses 2. Run fill test 3. Replace seal/bellows | {"F808216P": {"name": "Tub Seal Kit", "price": 95, "source": "Parts Town"}, "F821208P": {"name": "Bellows", "price": 55, "source": "Alliance"}} |
| PF / E:PF         | Power Failure                                       | Basic       | Low      | Loose cord, bad fuse, power surge | 1. Check outlet voltage 2. Test cord 3. Replace fuse | {"F808217P": {"name": "Power Cord", "price": 18, "source": "Parts Town"}, "F808229P": {"name": "Fuse Kit", "price": 12, "source": "Alliance"}} |
| Er_tS / E:tS      | Temp Sensor Shorted/Open                            | Intermediate| Medium   | Bad NTC, loose harness | 1. Test NTC resistance 2. Reseat harness 3. Replace sensor | {"F808218P": {"name": "NTC Sensor", "price": 28, "source": "Parts Town"}, "F808724P": {"name": "Harness", "price": 20, "source": "Alliance"}} |
| Er_HC / E:HC      | Heater Circuit                                      | Intermediate| High     | Bad element, relay, thermostat | 1. Test element continuity 2. Check relay click 3. Replace element first | {"F808219P": {"name": "Heating Element", "price": 68, "source": "Parts Town"}, "F808231P": {"name": "Relay", "price": 35, "source": "Alliance"}} |
| Er_dF / Ed_10     | Drive Failure                                       | Advanced    | Critical | Inverter board, motor, clutch | 1. Check error sub-code 2. Test inverter output 3. Replace board/motor | {"F808220P": {"name": "Inverter Board", "price": 220, "source": "Parts Town"}, "F808221P": {"name": "Motor", "price": 180, "source": "Alliance"}} |
| Er_dN             | Drive Board Not Ready                               | Intermediate| High     | Comm cable loose, board fault | 1. Reseat comm cable 2. Cycle power 3. Replace cable/board | {"F808222P": {"name": "Drive Board", "price": 195, "source": "Parts Town"}, "F808227P": {"name": "Comm Cable", "price": 15, "source": "Alliance"}} |
| Ed_29             | Motor Not Connected                                 | Basic       | High     | Harness unplug, bad connector | 1. Check motor harness plug 2. Reseat 3. Replace harness | {"F808223P": {"name": "Motor Harness", "price": 25, "source": "Parts Town"}} |
| Er_03             | Motor Phase Error                                   | Advanced    | Critical | Wiring fault, phase loss | 1. Test 3-phase at inverter 2. Check harness 3. Replace phase harness | {"F808224P": {"name": "Phase Harness", "price": 30, "source": "Alliance"}} |
| Er_04             | Locked Rotor                                        | Intermediate| High     | Overload, bad clutch, seized bearing | 1. Empty spin test 2. Check clutch 3. Replace clutch | {"F808225P": {"name": "Clutch", "price": 45, "source": "Parts Town"}} |
| Er_05             | IPM Temperature High                                | Advanced    | High     | Overheat, bad fan | 1. Clean heatsink 2. Test fan 3. Replace IPM | {"F808226P": {"name": "IPM Module", "price": 55, "source": "Alliance"}} |
| Er_bd             | Control/Drive Communication                         | Intermediate| High     | Loose comm cable, board fault | 1. Reseat cable 2. Cycle power 3. Replace cable | {"F808227P": {"name": "Comm Cable", "price": 15, "source": "Parts Town"}} |
| OFF               | Break-in Alarm                                      | Basic       | Low      | Vault switch tripped | Reset via service mode — no part |
| Er_Vo             | Incorrect Voltage                                   | Intermediate| High     | Wrong supply, bad regulator | 1. Test wall voltage 2. Replace regulator | {"F808228P": {"name": "Voltage Regulator", "price": 60, "source": "Alliance"}} |
| Er_18             | Wrong Input Voltage                                 | Basic       | High     | Fuse blown, filter bad | Replace fuse kit | {"F808229P": {"name": "Fuse Kit", "price": 12, "source": "Parts Town"}} |
| E:AF / E:AFx      | Airflow Fault                                       | Intermediate| Medium   | Lint block, bad fan | Clean filter/duct → replace fan | {"F808230P": {"name": "Lint Filter", "price": 20, "source": "Alliance"}, "F808241P": {"name": "Duct Kit", "price": 45, "source": "Parts Town"}} |
| E:PS / E:PSx      | Pressure Switch                                     | Intermediate| Medium   | Bad hose, switch fault | Check hose → replace switch | {"F808232P": {"name": "Pressure Switch", "price": 40, "source": "Alliance"}} |
| E:ubL / E:ubLx    | Low Unbalance Detection                             | Intermediate| Medium   | Bad load cell | Replace cell | {"F808233P": {"name": "Load Cell", "price": 75, "source": "Parts Town"}} |
| E:RT              | Rotation Fault                                      | Intermediate| High     | Belt/motor | Replace belt first | {"F808215P": {"name": "Belt", "price": 25, "source": "Alliance"}} |
| E:GS              | Gas Safety                                          | Advanced    | Critical | Valve/igniter | Replace valve | {"F808749P": {"name": "Gas Valve", "price": 80, "source": "Parts Town"}} |
| E:VC              | Voltage Communication                               | Advanced    | High     | Supply board | Replace board | {"F808763P": {"name": "Supply Board", "price": 110, "source": "Alliance"}} |

**Copy this box** — Speed Queen Washers complete.

**Next box in 3...2...1...** (Speed Queen Dryers)
